id;name;login;password;type;status;address;mobile_no
1;clown yum;occupy hm;mid circa;WORKING_PROFESSIONAL;SUCCESS;../fake-data/blob/hipster.txt;26286
2;unless vide ugh;med;incidentally why;ADMIN;INACTIVE;../fake-data/blob/hipster.txt;10129
3;upliftingly over;prime less unless;ingredient recklessly;WORKING_PROFESSIONAL;SUCCESS;../fake-data/blob/hipster.txt;22371
4;comparison if;phooey after;unlike ill package;ADMIN;SUCCESS;../fake-data/blob/hipster.txt;6916
5;angelic;fooey whoever unlike;or oxygen equation;ADMIN;ACTIVE;../fake-data/blob/hipster.txt;26635
6;apropos stove;so;yet firm;STUDENT;ACTIVE;../fake-data/blob/hipster.txt;7169
7;what;bombard;whoosh casserole reapply;WORKING_PROFESSIONAL;BL;../fake-data/blob/hipster.txt;30702
8;boo yuck transportation;stormy;overreact typhoon;WORKING_PROFESSIONAL;INACTIVE;../fake-data/blob/hipster.txt;2410
9;quietly far vapid;since absent;whose segregate boo;ADMIN;SUCCESS;../fake-data/blob/hipster.txt;561
10;in;within ideal patio;recover;ADMIN;SUCCESS;../fake-data/blob/hipster.txt;2926
